name_key,full_name,birth_date,espn_id
ajtarpley,A.J. Tarpley,1992-04-30,
aaronmurray,Aaron Murray,1990-11-10,17021.0
adariusglanton,Adarius Glanton,1990-09-21,17401.0
ahmadbradshaw,Ahmad Bradshaw,1986-03-19,10693.0
alanball,Alan Ball,1985-03-29,
alexcarrington,Alex Carrington,1987-06-19,
allenbradford,Allen Bradford,1988-08-31,
alonzoharris,Alonzo Harris,1992-11-09,
andrecaldwell,Andre Caldwell,1985-04-15,11331.0
andrefluellen,Andre Fluellen,1985-03-07,
andrewmcdonald,Andrew McDonald,1988-09-08,
andymulumba,Andy Mulumba,1990-01-31,
andystudebaker,Andy Studebaker,1985-09-16,
anthonydixon,Anthony Dixon,1987-09-24,13212.0
anthonymccoy,Anthony McCoy,1987-12-28,
antrelrolle,Antrel Rolle,1982-12-16,
antwonblake,Antwon Blake,1990-08-09,15350.0
austinshepherd,Austin Shepherd,1992-05-28,
bjdubose,B.J. Dubose,1992-01-19,
bjraji,B.J. Raji,1986-07-11,
barrettjones,Barrett Jones,1990-05-25,
barrycofield,Barry Cofield,1984-03-19,
bearpascoe,Bear Pascoe,1986-02-23,12548.0
bengrubbs,Ben Grubbs,1984-03-10,
bernardpierce,Bernard Pierce,1991-05-10,14891.0
billycundiff,Billy Cundiff,1980-03-30,
bjoernwerner,Bjoern Werner,1990-08-30,
bradbars,Brad Bars,1992-04-24,
bradjones,Brad Jones,1986-04-01,
bradsorensen,Brad Sorensen,1988-03-13,
bradleyfletcher,Bradley Fletcher,1986-06-25,
brandianross,Brandian Ross,1989-09-28,
brandonbair,Brandon Bair,1984-11-24,
brandonbrowner,Brandon Browner,1984-08-02,
brandonfields,Brandon Fields,1984-05-21,
brandonmcgee,Brandon McGee,1990-12-11,
brandonmeriweather,Brandon Meriweather,1984-01-14,
brandonwegher,Brandon Wegher,1990-12-09,
braxstoncave,Braxston Cave,1989-07-29,
briandelapuente,Brian De La Puente,1985-05-13,
brianfolkerts,Brian Folkerts,1990-01-30,
brianhartline,Brian Hartline,1986-11-22,12568.0
brianleonhardt,Brian Leonhardt,1990-04-02,
brockvereen,Brock Vereen,1992-08-17,
bryanstork,Bryan Stork,1990-11-15,
